ID;biomass;Unit;harvest;Treatment [lux];Treatment [lux]_ln
1_1;1067.95;1;1;0.081;0.077886539
2_1;822.19;2;1;0.3;0.262364264
3_1;887.57;3;1;0.94;0.662687973
4_1;967.14;4;1;0.103;0.09803374
5_1;1226.76;5;1;0;0
6_1;912.49;6;1;0.0087;0.008662373
7_1;912.23;7;1;0.028;0.027615167
8_1;1069.89;8;1;0;0
9_1;758.19;9;1;9.883;2.387201939
10_1;900.21;10;1;3.033;1.394510516
11_1;957.48;11;1;30.313;3.444033347
12_1;824.51;12;1;30.313;3.444033347
1_2;237.98;1;2;0.081;0.077886539
2_2;300.56;2;2;0.3;0.262364264
3_2;376.52;3;2;0.94;0.662687973
4_2;306.93;4;2;0.103;0.09803374
5_2;291.02;5;2;0;0
6_2;382.98;6;2;0.0087;0.008662373
7_2;372.23;7;2;0.028;0.027615167
8_2;331;8;2;0;0
9_2;363.89;9;2;9.883;2.387201939
10_2;304.25;10;2;3.033;1.394510516
11_2;220.59;11;2;30.313;3.444033347
12_2;503.35;12;2;30.313;3.444033347
